ward_id,cutoff,this_catHosp,that_catHosp,Period,eta_bayes,eta_lo,eta_hi,lines,formmin,breakmin,mean_intensity
0,1,ALL,ALL,All,-0.025323531667095694,-0.0744684528844757,0.02461585025992933,3529,1359262.3333333333,329184.3333333333,0.2421786621027533
0,1,patient,ALL,All,-0.23048710871192443,-0.28125036228999034,-0.17957858977213825,3378,524676.3333333334,153465.83333333334,0.2924961992441054
0,1,visitor,ALL,All,-0.534211882587267,-0.6565769813189513,-0.41467142743155794,1293,51314.166666666664,42023.833333333336,0.8189518813842832
0,1,administration,ALL,All,-0.7015360930656107,-0.7769864172823561,-0.6289863419285802,2283,57990.833333333336,10571.333333333334,0.18229317851959362
0,1,aux nurse,ALL,All,0.4006987133514892,0.33436948482664275,0.471000618735111,3259,150382.5,68793.16666666667,0.4574546018763265
0,1,ext physician,ALL,All,0.18338044532397765,0.07189752264030219,0.2819390459799227,1761,45417,27621.833333333332,0.6081826922371212
0,1,logistic,ALL,All,-0.7580426074083884,-0.8514849097212607,-0.6688527900523874,1490,24977.833333333332,3667.3333333333335,0.14682351685160844
0,1,nurse,ALL,All,0.4368215124019281,0.37792649118678384,0.49152477147046186,3469,218161.33333333334,105665.83333333333,0.484347210932582
0,1,other,ALL,All,-0.4281878452265368,-0.5306148619913551,-0.3307239395649493,1491,28602.833333333332,10939.666666666666,0.38246793732555634
0,1,physician,ALL,All,-0.09593637209401437,-0.15882631149821205,-0.03805575785141303,3104,194891.16666666666,65619.5,0.3366981742801752
0,1,reeducation staff,ALL,All,-0.8853988111900919,-1.050349387777591,-0.6994366145015752,1029,18717.5,8502.5,0.4542540403365834
0,1,student nurse,ALL,All,0.32821487341062167,0.21045519120442477,0.44051050413450743,1959,28820.5,22988.333333333332,0.7976382551771597
0,1,investigation,ALL,All,NA,NA,NA,0,0,0,NA
0,1,ALL,ALL,Day,0.2377695429225599,0.14244286202039724,0.32741029827609697,2494,944657.6666666666,239091.3333333333,0.2530983887284741
0,1,patient,ALL,Day,-0.16296859990685625,-0.25010885576346287,-0.08113793360624777,2398,311265.8333333333,101304.66666666667,0.32546028448352027
0,1,visitor,ALL,Day,-0.7534761358556386,-0.9313094479665968,-0.5666672058636444,842,32681.833333333332,25892.333333333332,0.7922546164790837
0,1,administration,ALL,Day,0.6589151907711702,0.4995156356998044,0.8118712565152784,1985,55057.666666666664,9090.333333333334,0.1651056770779728
0,1,aux nurse,ALL,Day,0.40368937624209467,0.29983863199270167,0.5026244672412772,2377,100163.33333333333,48830.666666666664,0.4875103996805218
0,1,ext physician,ALL,Day,0.7544747633183105,0.5655035462883158,0.9374138487876766,1344,37547.333333333336,23604.166666666668,0.628650947248806
0,1,logistic,ALL,Day,-0.3557906893698833,-0.5216482622313959,-0.2003005891004781,1313,23399.666666666668,3294.3333333333335,0.14078548127466203
